pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
moon-saturn,180.0,34,0.6470588235294118,1.023087412423003,0.5068535415230511,0.5074626865671642,9,0.8947732779508482,False
moon-mercury,135.0,34,0.6470588235294118,1.023087412423003,0.5068535415230511,0.5074626865671642,13,1.238916846393482,False
mercury-neptune,150.0,34,0.6470588235294118,1.023087412423003,0.5068535415230511,0.4527363184079602,3,1.6105919003115265,False
moon-neptune,120.0,34,0.6470588235294118,1.023087412423003,0.5068535415230511,0.4925373134328358,9,0.8947732779508482,False
moon-venus,120.0,45,0.6444444444444445,1.0189537259081625,0.5006493800583944,0.5323383084577115,12,0.9395119418483905,False
moon-mars,60.0,39,0.6410256410256411,1.0135481358502942,0.5277990158083374,0.5223880597014925,9,0.8947732779508482,False
neptune-pluto,60.0,922,0.6409978308026031,1.0135041641307345,0.30802727590555284,0.24875621890547264,305,0.9029875900107247,False
moon-jupiter,60.0,36,0.6388888888888888,1.0101696420641264,0.5429580713793782,0.527363184079602,9,1.0737279335410177,False
saturn-neptune,0.0,234,0.6367521367521367,1.0067911482779588,0.47508954558066707,0.472636815920398,234,1.025547833959049,False
venus-pluto,0.0,63,0.6349206349206349,1.0038952964612438,0.5404221913608118,0.5024875621890548,5,1.6105919003115265,False
venus-uranus,30.0,30,0.6333333333333333,1.0013855582200906,0.5774113640931983,0.6069651741293532,10,0.6442367601246106,False
venus-pluto,120.0,30,0.6333333333333333,1.0013855582200906,0.5774113640931983,0.5671641791044776,11,0.5856697819314642,False
mercury-mars,45.0,57,0.631578947368421,0.9986116370061845,0.5646710243249156,0.572139303482587,5,0.0,False
mercury-saturn,0.0,35,0.6285714285714286,0.9938563434966313,0.5937953112772392,0.6119402985074627,19,0.8476799475323823,False
moon-neptune,150.0,35,0.6285714285714286,0.9938563434966313,0.5937953112772392,0.5771144278606966,7,1.1504227859368048,False
moon-jupiter,45.0,32,0.625,0.9882094324540368,0.6122997842485316,0.6865671641791045,10,1.1274143302180686,False
sun-uranus,90.0,32,0.625,0.9882094324540368,0.6122997842485316,0.5870646766169154,6,0.0,False
mercury-saturn,90.0,32,0.625,0.9882094324540368,0.6122997842485316,0.6069651741293532,4,1.6105919003115265,False
moon-pluto,30.0,32,0.625,0.9882094324540368,0.6122997842485316,0.6069651741293532,10,0.9663551401869159,False
moon-pluto,60.0,32,0.625,0.9882094324540368,0.6122997842485316,0.5920398009950248,10,1.1274143302180686,False
moon-neptune,135.0,40,0.625,0.9882094324540368,0.6082955552374015,0.6019900497512438,9,0.8947732779508482,False
mercury-venus,0.0,110,0.6181818181818182,0.9774289659181746,0.6614560515884405,0.6616915422885572,45,1.4674281758393908,False
mercury-jupiter,0.0,34,0.6176470588235294,0.9765834391310482,0.6443202246355879,0.6965174129353234,3,1.6105919003115265,False
moon-neptune,180.0,34,0.6176470588235294,0.9765834391310482,0.6443202246355879,0.6218905472636815,8,0.8052959501557633,False
moon-saturn,30.0,34,0.6176470588235294,0.9765834391310482,0.6443202246355879,0.6965174129353234,9,1.2526825891311872,False
moon-jupiter,30.0,34,0.6176470588235294,0.9765834391310482,0.6443202246355879,0.6567164179104478,8,1.006619937694704,False
moon-jupiter,90.0,34,0.6176470588235294,0.9765834391310482,0.6443202246355879,0.6368159203980099,7,0.6902536715620827,False
sun-mars,0.0,62,0.6129032258064516,0.9690827982775071,0.6771982797301392,0.6567164179104478,24,1.3421599169262721,False
moon-pluto,120.0,31,0.6129032258064516,0.9690827982775071,0.6645616868766974,0.681592039800995,7,0.9203382287494437,False
venus-jupiter,0.0,31,0.6129032258064516,0.9690827982775071,0.6645616868766974,0.6865671641791045,6,1.3421599169262721,False
