pair,aspect,in_window_bars,rate_in,lift,binomial_p,random_p,holdout_in_bars,holdout_lift,bh_significant
moon-mars,90.0,130,0.5384615384615384,1.0499291963789004,0.3101017004851176,0.29850746268656714,35,1.2933356533843745,False
venus-pluto,120.0,119,0.5378151260504201,1.0486687771755643,0.3255770246735427,0.2835820895522388,41,1.288078191378747,False
jupiter-neptune,45.0,560,0.5375,1.048054322813938,0.13036574585397517,0.13432835820895522,0,,False
sun-uranus,0.0,160,0.5375,1.048054322813938,0.2932502068211371,0.24378109452736318,53,0.818502516489325,False
mars-neptune,45.0,121,0.5371900826446281,1.0474500247227518,0.3286190147223721,0.31840796019900497,0,,False
moon-uranus,30.0,136,0.5367647058823529,1.0466205959701433,0.3187246930490568,0.36318407960199006,33,1.200254678330196,False
mercury-saturn,60.0,177,0.536723163841808,1.046539594453545,0.28791663109530674,0.31840796019900497,24,1.1788215590742996,False
mercury-jupiter,45.0,69,0.5362318840579711,1.04558166347464,0.3948135613188054,0.4427860696517413,13,1.7410287641712734,False
mars-uranus,180.0,97,0.5360824742268041,1.0452903339501276,0.3612673821294821,0.4079601990049751,32,1.3556447929354445,False
sun-mars,30.0,265,0.5358490566037736,1.0448352002778707,0.24603096862751475,0.24378109452736318,78,0.7496096067959648,False
sun-neptune,90.0,127,0.5354330708661418,1.044024082788468,0.3374526304624807,0.3034825870646766,25,1.2825578562728381,False
venus-neptune,0.0,215,0.5348837209302325,1.042952922648808,0.28181561449480586,0.2935323383084577,134,0.8304533968404021,False
venus-saturn,135.0,101,0.5346534653465347,1.0425039545374655,0.3677798192916728,0.3383084577114428,19,1.0919610231425092,False
mars-uranus,120.0,116,0.5344827586206896,1.0421710988687114,0.35486187147945303,0.373134328358209,40,0.8015986601705237,False
sun-saturn,120.0,124,0.532258064516129,1.0378332378952726,0.36634603827032636,0.40298507462686567,25,0.7544457978075517,False
mercury-pluto,0.0,162,0.5308641975308642,1.035115380556976,0.35225196833428385,0.34328358208955223,29,1.1706917552186147,False
moon-mercury,60.0,138,0.5289855072463768,1.0314521815357935,0.3847163468488935,0.4079601990049751,37,1.0195213483885834,False
jupiter-neptune,0.0,125,0.528,1.0295305719921104,0.40190853307222724,0.43283582089552236,0,,False
moon-pluto,90.0,125,0.528,1.0295305719921104,0.40190853307222724,0.40298507462686567,30,1.1316686967113276,False
mars-jupiter,60.0,108,0.5277777777777778,1.029097267879319,0.4156411429661571,0.38308457711442784,71,0.8500797721775231,False
moon-jupiter,150.0,144,0.5277777777777778,1.029097267879319,0.392007573052278,0.3880597014925373,38,0.9926918392204628,False
venus-pluto,30.0,127,0.5275590551181102,1.0286707874533434,0.40443482153468935,0.3582089552238806,44,0.3857961466061344,False
venus-jupiter,180.0,93,0.5268817204301075,1.0273500738761283,0.4341259348622186,0.4427860696517413,18,0.9430572472594396,False
moon-pluto,60.0,131,0.5267175572519084,1.0270299772648568,0.4093646797363252,0.3681592039800995,36,0.6810969007984842,False
moon-venus,30.0,131,0.5267175572519084,1.0270299772648568,0.4093646797363252,0.373134328358209,31,1.2776904640289182,False
moon-mars,45.0,135,0.5259259259259259,1.0254864002727249,0.41413948035503906,0.44776119402985076,34,1.3313749373074444,False
sun-venus,30.0,386,0.5259067357512953,1.0254489819555581,0.32215555854274325,0.29850746268656714,127,1.113847142432409,False
uranus-pluto,120.0,700,0.5257142857142857,1.0250737296891141,0.2602337154007,0.27860696517412936,700,0.9915573342613536,False
venus-uranus,60.0,105,0.5238095238095238,1.0213596944366174,0.44985662239719626,0.44776119402985076,20,0.7544457978075517,False
mercury-venus,60.0,212,0.5235849056603774,1.0209217185813704,0.4039209071499968,0.417910447761194,47,0.8828621038173478,False
moon-saturn,60.0,128,0.5234375,1.0206342969263642,0.44027436604465053,0.43781094527363185,29,1.1056533243731361,False
sun-moon,90.0,134,0.5223880597014925,1.0185880263377391,0.44687964070172737,0.5074626865671642,34,0.6656874686537222,False
moon-pluto,120.0,134,0.5223880597014925,1.0185880263377391,0.44687964070172737,0.43283582089552236,32,1.3556447929354445,False
mars-jupiter,0.0,90,0.5222222222222223,1.0182646650595368,0.4715507668069458,0.44776119402985076,0,,False
mercury-jupiter,135.0,69,0.5217391304347826,1.017322699596947,0.4895711221534667,0.48756218905472637,16,1.4145858708891594,False
venus-uranus,120.0,98,0.5204081632653061,1.0147274886285875,0.48100389847455444,0.4577114427860697,18,0.20956827716876436,False
jupiter-pluto,30.0,781,0.5198463508322664,1.0136320282582472,0.36137211103675015,0.35323383084577115,0,,False
uranus-neptune,60.0,1616,0.5198019801980198,1.0135455113558693,0.2967915536153667,0.31343283582089554,1113,0.9930486017862203,False
sun-jupiter,30.0,160,0.51875,1.011494288297173,0.4723420558287862,0.43283582089552236,32,0.8841161693057247,False
mercury-pluto,60.0,137,0.5182481751824818,1.0105157958891817,0.4840195355892437,0.5074626865671642,87,1.322448093858065,False
moon-uranus,135.0,141,0.5177304964539007,1.0095063904392871,0.4876996845939943,0.46766169154228854,38,0.8437880633373934,False
saturn-pluto,60.0,705,0.5177304964539007,1.0095063904392871,0.4125538316698397,0.4577114427860697,705,0.9764989936161573,False
moon-neptune,180.0,145,0.5172413793103449,1.0085526763245596,0.4912755125550076,0.5323383084577115,38,1.042326431181486,False
mercury-saturn,30.0,174,0.5172413793103449,1.0085526763245596,0.48434486201490595,0.4527363184079602,27,0.6287048315062931,False
mercury-neptune,45.0,151,0.5165562913907285,1.0072168449651893,0.49645686980487946,0.48258706467661694,23,1.7221045384737592,False
moon-pluto,0.0,122,0.5163934426229508,1.0068993112814046,0.5052441545990964,0.4925373134328358,38,1.2408647990255786,False
moon-pluto,45.0,126,0.5158730158730159,1.0058845475512141,0.5088134408038769,0.5124378109452736,36,0.9430572472594396,False
venus-uranus,180.0,95,0.5157894736842106,1.00572165126821,0.5184456195081044,0.5124378109452736,18,0.8382731086750574,False
mars-pluto,0.0,97,0.5154639175257731,1.0050868595674303,0.5203340468918454,0.5124378109452736,32,0.9430572472594396,False
venus-neptune,150.0,262,0.5152671755725191,1.0047032386286643,0.4937067824819227,0.5472636815920398,19,0.2978075517661388,False
moon-venus,45.0,132,0.5151515151515151,1.0044777160161775,0.5139634870153261,0.582089552238806,33,0.7430148008710736,False
moon-pluto,135.0,136,0.5147058823529411,1.0036087906563018,0.5172711330897019,0.5870646766169154,34,1.2204270258651573,False
jupiter-uranus,0.0,138,0.5144927536231884,1.0031932176581004,0.5188896164368951,0.4626865671641791,0,,False
mercury-jupiter,60.0,140,0.5142857142857142,1.0027895181741333,0.5204855100064003,0.48258706467661694,14,0.6736123194710284,False
saturn-pluto,30.0,259,0.5135135135135135,1.001283828206905,0.516542399424474,0.5572139303482587,0,,False
sun-mercury,0.0,670,0.5134328358208955,1.0011265173148065,0.5036134493166664,0.5323383084577115,184,0.9123053805009796,False
mars-neptune,120.0,263,0.5133079847908745,1.000883074223232,0.5189435651571037,0.5621890547263682,120,1.147386317498985,False
jupiter-pluto,135.0,419,0.513126491646778,1.00052918645722,0.5152223908514989,0.5323383084577115,140,1.1720854358795894,False
mars-jupiter,180.0,88,0.5113636363636364,0.997091850457235,0.5538528883494747,0.5323383084577115,26,1.1606858427808489,False
sun-mars,135.0,45,0.5111111111111111,0.9965994594199721,0.5688545475252338,0.5522388059701493,0,,False
sun-moon,120.0,137,0.5109489051094891,0.996283179045672,0.5520116080901799,0.5422885572139303,36,0.8382731086750574,False
